Unit,2017_01,2017_01,2017_01,2017_01,2017_02,2017_02,2017_02,2017_02,2017_03,2017_03,2017_03,2017_03,2017_04,2017_04,2017_04,2017_04,2017_05,2017_05,2017_05,2017_05,2017_06,2017_06,2017_06,2017_06,2017_07,2017_07,2017_07,2017_07,2017_08,2017_08,2017_08,2017_08,2017_09,2017_09,2017_09,2017_09,2017_10,2017_10,2017_10,2017_10,2017_11,2017_11,2017_11,2017_11,2017_12,2017_12,2017_12,2017_12,Revenue
01,17.2175819104753,4047,490,287,17.3469246717346,4053,483,288,16.0448688449149,4067,478,279,17.0844066237351,4030,476,318,17.3429096759366,3993,473,358,17.4635380722337,4019,477,328,16.0851015286334,4053,441,330,16.7841468875952,4171,358,295,16.890404831134,4144,353,327,16.7584830339321,4184,315,325,17.2798490901021,4166,318,340,17.6219702023571,4155,327,342,519480000
02,17.9965986394558,4079,2493,331,17.3668102471095,4085,2492,326,16.7245129134572,4096,2489,318,18.0657298277425,4085,2491,327,17.2810516772439,4081,2491,331,17.3157777281857,4138,2422,343,17.616807846634,4137,2417,349,17.5746024831191,4246,2312,345,17.7657467874447,4282,2156,465,17.5616950560864,4348,2089,466,16.7778932059007,4317,2090,496,17.2033160621762,4383,2078,442,565560000
03,23.2406181015453,9843,4471,576,21.3397927858787,9840,4466,584,20.4207655502392,9825,4440,625,21.4324608330149,9846,4422,1,21.9941788338582,9916,4411,563,22.0219190968956,10023,4260,607,22.2822344322344,10264,3970,656,20.3464991023339,10453,3750,687,21.4738952322845,10781,3417,692,20.0694124669566,10926,3163,801,21.0444161358811,10952,3115,823,20.1654664068457,10946,3087,857,1435410000
04,11.8184931506849,1503,433,249,12.7927314026122,1603,424,158,12.4286526435475,1652,426,107,12.3839541547278,1650,440,95,12.3753581661891,1658,440,87,11.929465301479,1660,427,98,12.5507657402155,1672,422,91,11.9095022624434,1678,417,90,10.8135764944276,1732,211,242,9.9637506041566,1707,116,362,11.4144449830344,1739,122,324,11.9136341581756,1775,124,286,218870000
05,16.0347222222222,1222,930,74,15.8826687116564,1231,922,73,14.6096625766871,1234,922,70,16.160153256705,1229,921,76,15.7808429118774,1236,921,69,17.1492087415222,1266,899,61,17.0230312035661,1285,880,61,13.9551325628824,1356,755,115,15.0032195750161,1430,673,123,14.2330972311655,1457,673,96,15.2150676110753,1465,673,88,14.2311654861558,1454,673,99,185190000
06,15.4828930272845,2113,644,196,15.3709677419355,2167,597,189,13.721986417657,2113,597,243,14.9279966116053,2117,592,244,14.4706131078224,2123,588,242,15.6864125932063,2180,539,234,13.8927250308261,2167,520,266,14.2602630530092,2247,444,262,14.2942330325618,2251,404,298,13.6739293764087,2338,291,324,14.3237167478456,2349,284,320,13.4448584202683,2373,269,311,294300000
07,19.2355350742448,3623,972,283,18.9569892473118,3604,972,302,16.9203789042499,3607,972,299,19.2956989247312,3641,972,265,17.8259088581669,3612,972,294,19.2532002048131,3625,972,281,18.8462705436157,3680,923,275,18.0333670374115,3686,922,270,18.4176964903609,3769,832,277,17.98347509113,3828,763,287,18.0102065613609,3843,763,272,18.0087484811665,3829,763,286,478480000
08,16.8061428001596,2311,400,196,14.8404467491025,2300,400,207,14.3171120861588,2282,400,225,16.844930417495,2316,392,199,16.227923627685,2317,393,197,16,2328,386,193,16.2530499803227,2349,366,192,14.7008613938919,2336,353,218,16.7090340242472,2371,350,186,16.7606570199452,2364,350,193,16.2720187061574,2358,341,208,16.6787925696594,2371,323,213,291670000
09,15.5391705069124,2529,767,292,16.1485288904644,2580,767,241,13.1393123006026,2579,767,242,15.8521800779865,2609,767,212,14.9446219382322,2608,771,209,15.0513000702741,2640,742,206,15.6856943961016,2671,715,202,15.2671730515192,2749,560,279,15.8028909329829,2756,544,288,15.9747209455023,2790,542,256,15.4330708661417,2801,540,247,15.9794252122796,2828,526,234,354600000
10,18.4097421203438,4236,1409,301,17.4662698412698,4268,1410,268,16.5235797323975,4303,1387,256,18.734313295305,4320,1388,238,17.6009625902428,4340,1375,231,17.9597924773022,4403,1320,223,18.1270846527338,4514,1209,223,17.314926302678,4564,1129,253,17.9441248972884,4595,1078,273,17.1509170653908,4718,930,298,18.7935020928842,4674,929,343,17.7884006334125,4747,894,305,592350000
